2026-06-10 16:25:40 | pid=8103 alive=True | epoch=20 progress=100% loss=4.6400 | latest_ckpt_epoch=20 | gpu=7% mem=8296/12227MB power=46.34W temp=50C
2026-06-10 16:25:55 | pid=8103 alive=True | epoch=21 progress=49% loss=4.6400 | latest_ckpt_epoch=20 | gpu=46% mem=8299/12227MB power=84.43W temp=51C
2026-06-10 16:26:10 | pid=8103 alive=True | epoch=21 progress=100% loss=4.6300 | latest_ckpt_epoch=21 | gpu=4% mem=8299/12227MB power=39.45W temp=49C
2026-06-10 16:26:25 | pid=8103 alive=True | epoch=22 progress=49% loss=4.6300 | latest_ckpt_epoch=21 | gpu=88% mem=8299/12227MB power=89.40W temp=58C
2026-06-10 16:26:40 | pid=8103 alive=True | epoch=22 progress=100% loss=4.6300 | latest_ckpt_epoch=22 | gpu=2% mem=8296/12227MB power=52.78W temp=50C
2026-06-10 16:26:55 | pid=8103 alive=True | epoch=23 progress=42% loss=4.6400 | latest_ckpt_epoch=22 | gpu=3% mem=8296/12227MB power=76.60W temp=59C
2026-06-10 16:27:10 | pid=8103 alive=True | epoch=23 progress=93% loss=4.6200 | latest_ckpt_epoch=22 | gpu=41% mem=8296/12227MB power=108.10W temp=53C
2026-06-10 16:27:26 | pid=8103 alive=True | epoch=24 progress=40% loss=4.6400 | latest_ckpt_epoch=23 | gpu=84% mem=8312/12227MB power=90.89W temp=51C
2026-06-10 16:27:41 | pid=8103 alive=True | epoch=24 progress=84% loss=4.6300 | latest_ckpt_epoch=23 | gpu=7% mem=8346/12227MB power=69.71W temp=50C
2026-06-10 16:27:56 | pid=8103 alive=True | epoch=25 progress=26% loss=4.6300 | latest_ckpt_epoch=24 | gpu=43% mem=8274/12227MB power=76.96W temp=51C
2026-06-10 16:28:11 | pid=8103 alive=True | epoch=25 progress=77% loss=4.6400 | latest_ckpt_epoch=24 | gpu=76% mem=8311/12227MB power=69.85W temp=53C
2026-06-10 16:28:26 | pid=8103 alive=True | epoch=26 progress=14% loss=4.6200 | latest_ckpt_epoch=25 | gpu=5% mem=8351/12227MB power=72.70W temp=51C
2026-06-10 16:28:41 | pid=8103 alive=True | epoch=26 progress=51% loss=4.6300 | latest_ckpt_epoch=25 | gpu=3% mem=8294/12227MB power=66.66W temp=49C
