2026-05-30 23:02:24 | pid=110162 alive=True | epoch=4 progress=12% loss=4.7300 | latest_ckpt_epoch=3 | gpu=0% mem=7570/12227MB power=61.96W temp=42C
2026-05-30 23:02:29 | pid=110162 alive=True | epoch=4 progress=19% loss=4.7200 | latest_ckpt_epoch=3 | gpu=36% mem=7576/12227MB power=43.54W temp=42C
2026-05-30 23:02:34 | pid=110162 alive=True | epoch=4 progress=28% loss=4.6800 | latest_ckpt_epoch=3 | gpu=10% mem=7576/12227MB power=44.40W temp=42C
2026-05-30 23:02:40 | pid=110162 alive=True | epoch=4 progress=35% loss=4.8000 | latest_ckpt_epoch=3 | gpu=29% mem=7569/12227MB power=43.01W temp=43C
2026-05-30 23:02:45 | pid=110162 alive=True | epoch=4 progress=44% loss=4.6900 | latest_ckpt_epoch=3 | gpu=1% mem=7569/12227MB power=62.35W temp=43C
2026-05-30 23:02:50 | pid=110162 alive=True | epoch=4 progress=51% loss=4.6700 | latest_ckpt_epoch=3 | gpu=0% mem=7569/12227MB power=46.80W temp=42C
2026-05-30 23:02:55 | pid=110162 alive=True | epoch=4 progress=60% loss=4.6900 | latest_ckpt_epoch=3 | gpu=0% mem=7569/12227MB power=65.24W temp=43C
2026-05-30 23:03:00 | pid=110162 alive=True | epoch=4 progress=70% loss=4.6700 | latest_ckpt_epoch=3 | gpu=0% mem=7570/12227MB power=62.19W temp=42C
2026-05-30 23:03:05 | pid=110162 alive=True | epoch=4 progress=79% loss=4.7300 | latest_ckpt_epoch=3 | gpu=36% mem=7570/12227MB power=42.34W temp=42C
2026-05-30 23:03:11 | pid=110162 alive=True | epoch=4 progress=91% loss=4.7200 | latest_ckpt_epoch=3 | gpu=56% mem=7570/12227MB power=71.68W temp=42C
2026-05-30 23:03:17 | pid=110162 alive=True | epoch=4 progress=100% loss=4.7100 | latest_ckpt_epoch=4 | gpu=0% mem=7570/12227MB power=33.52W temp=41C
2026-05-30 23:03:22 | pid=110162 alive=True | epoch=5 progress=7% loss=4.6700 | latest_ckpt_epoch=4 | gpu=46% mem=7570/12227MB power=51.57W temp=42C
2026-05-30 23:03:27 | pid=110162 alive=True | epoch=5 progress=19% loss=4.6900 | latest_ckpt_epoch=4 | gpu=32% mem=7570/12227MB power=75.22W temp=47C
2026-05-30 23:03:32 | pid=110162 alive=True | epoch=5 progress=26% loss=4.6700 | latest_ckpt_epoch=4 | gpu=36% mem=7725/12227MB power=43.00W temp=42C
2026-05-30 23:03:37 | pid=110162 alive=True | epoch=5 progress=35% loss=4.6900 | latest_ckpt_epoch=4 | gpu=68% mem=7768/12227MB power=66.80W temp=44C
2026-05-30 23:03:42 | pid=110162 alive=True | epoch=5 progress=44% loss=4.7100 | latest_ckpt_epoch=4 | gpu=1% mem=7775/12227MB power=69.37W temp=50C
2026-05-30 23:03:47 | pid=110162 alive=True | epoch=5 progress=51% loss=4.7200 | latest_ckpt_epoch=4 | gpu=1% mem=7764/12227MB power=62.85W temp=42C
2026-05-30 23:03:52 | pid=110162 alive=True | epoch=5 progress=58% loss=4.6700 | latest_ckpt_epoch=4 | gpu=47% mem=7726/12227MB power=62.20W temp=43C
2026-05-30 23:03:57 | pid=110162 alive=True | epoch=5 progress=67% loss=4.6800 | latest_ckpt_epoch=4 | gpu=1% mem=7718/12227MB power=63.50W temp=42C
2026-05-30 23:04:04 | pid=110162 alive=True | epoch=5 progress=74% loss=4.6700 | latest_ckpt_epoch=4 | gpu=1% mem=7721/12227MB power=40.34W temp=41C
2026-05-30 23:04:09 | pid=110162 alive=True | epoch=5 progress=84% loss=4.7000 | latest_ckpt_epoch=4 | gpu=1% mem=7721/12227MB power=66.56W temp=44C
2026-05-30 23:04:14 | pid=110162 alive=True | epoch=5 progress=95% loss=4.7800 | latest_ckpt_epoch=4 | gpu=2% mem=7720/12227MB power=66.79W temp=50C
2026-05-30 23:04:19 | pid=110162 alive=True | epoch=6 progress=2% loss=4.6600 | latest_ckpt_epoch=5 | gpu=1% mem=7720/12227MB power=35.22W temp=41C
2026-05-30 23:04:24 | pid=110162 alive=True | epoch=6 progress=9% loss=4.6800 | latest_ckpt_epoch=5 | gpu=18% mem=7722/12227MB power=42.74W temp=43C
2026-05-30 23:04:29 | pid=110162 alive=True | epoch=6 progress=19% loss=4.6800 | latest_ckpt_epoch=5 | gpu=1% mem=7722/12227MB power=63.36W temp=42C
2026-05-30 23:04:34 | pid=110162 alive=True | epoch=6 progress=28% loss=4.8100 | latest_ckpt_epoch=5 | gpu=91% mem=7754/12227MB power=65.61W temp=46C
2026-05-30 23:04:41 | pid=110162 alive=True | epoch=6 progress=35% loss=4.6900 | latest_ckpt_epoch=5 | gpu=1% mem=7724/12227MB power=66.23W temp=42C
2026-05-30 23:04:46 | pid=110162 alive=True | epoch=6 progress=42% loss=4.6600 | latest_ckpt_epoch=5 | gpu=84% mem=7729/12227MB power=63.11W temp=43C
2026-05-30 23:04:51 | pid=110162 alive=True | epoch=6 progress=49% loss=4.6800 | latest_ckpt_epoch=5 | gpu=61% mem=7782/12227MB power=57.46W temp=44C
2026-05-30 23:04:56 | pid=110162 alive=True | epoch=6 progress=60% loss=4.6900 | latest_ckpt_epoch=5 | gpu=4% mem=7783/12227MB power=66.20W temp=46C
2026-05-30 23:05:01 | pid=110162 alive=True | epoch=6 progress=65% loss=4.6700 | latest_ckpt_epoch=5 | gpu=40% mem=7783/12227MB power=43.02W temp=41C
2026-05-30 23:05:06 | pid=110162 alive=True | epoch=6 progress=74% loss=4.6900 | latest_ckpt_epoch=5 | gpu=10% mem=7783/12227MB power=63.06W temp=43C
2026-05-30 23:05:12 | pid=110162 alive=True | epoch=6 progress=81% loss=4.7800 | latest_ckpt_epoch=5 | gpu=1% mem=7782/12227MB power=61.17W temp=41C
2026-05-30 23:05:17 | pid=110162 alive=True | epoch=6 progress=93% loss=4.6700 | latest_ckpt_epoch=5 | gpu=58% mem=7782/12227MB power=66.38W temp=43C
2026-05-30 23:05:22 | pid=110162 alive=True | epoch=6 progress=100% loss=4.6800 | latest_ckpt_epoch=6 | gpu=1% mem=7781/12227MB power=26.74W temp=40C
2026-05-30 23:05:27 | pid=110162 alive=True | epoch=7 progress=7% loss=4.6800 | latest_ckpt_epoch=6 | gpu=1% mem=7782/12227MB power=34.62W temp=41C
2026-05-30 23:05:32 | pid=110162 alive=True | epoch=7 progress=14% loss=4.6500 | latest_ckpt_epoch=6 | gpu=8% mem=7782/12227MB power=44.85W temp=41C
2026-05-30 23:05:37 | pid=110162 alive=True | epoch=7 progress=23% loss=4.6900 | latest_ckpt_epoch=6 | gpu=1% mem=7782/12227MB power=61.32W temp=41C
2026-05-30 23:05:44 | pid=110162 alive=True | epoch=7 progress=30% loss=4.6700 | latest_ckpt_epoch=6 | gpu=13% mem=7782/12227MB power=53.10W temp=43C
